Date,N225,STOXX50E,NDX,GSPC
2017-08-23,19410.513196480933,3438.0365744870646,5855.793854133921,2443.163637667726
2017-08-24,19341.154929577464,3445.0983299097966,5838.108641044963,2438.1286670948484
2017-08-25,19440.26966292135,3439.8403871702412,5823.068824747011,2442.2005173172324
2017-08-28,19434.2774566474,3421.640777628807,5840.844312339334,2442.951055186763
2017-08-29,19350.30197444832,3387.065543735225,5865.538881664499,2445.843320468817
2017-08-30,19502.016806722688,3404.2092605079797,5933.852752639516,2456.2975832489237
2017-08-31,19649.67413441955,3424.283643263757,5989.125916784203,2469.775440149809
2017-09-01,19680.435714285715,3444.4146119997213,5989.743251060548,2475.6125198906525
2017-09-04,19380.0,3430.533906882591,5978.438118811881,2467.7705223880607
2017-09-05,19236.660746003552,3421.041178917345,5935.420041772612,2457.525851344516
2017-09-06,19209.21818181818,3434.62302771855,5951.825181629476,2464.814172276221
2017-09-07,19245.497076023392,3449.3770755222276,5964.783569641369,2464.3521092194205
2017-09-08,19121.662870159453,3447.0753424657532,5913.513974698441,2460.8330180260573
2017-09-11,19391.203703703704,3477.3730522456462,5987.473368841545,2485.343126140574
2017-09-12,19622.326530612245,3498.1697171381043,6000.7215888849305,2493.636655305533
2017-09-13,19726.93693693693,3512.6196175967657,6010.340137790253,2495.137884529648
2017-09-14,19672.159709618878,3513.8373440285204,5971.966313330938,2493.923076133588
2017-09-15,19767.35340729001,3498.647139293474,5991.860596435504,2497.4515560465425
2017-09-18,19767.35340729001,3513.828165608945,5983.960429242119,2501.5540704956165
2017-09-19,20174.475862068964,3515.9417608457893,5994.625888817065,2504.868244756669
2017-09-20,20181.86842105264,3510.351326790258,5977.562760318062,2505.795215243187
2017-09-21,20220.460829493088,3529.775731310943,5940.065309908337,2498.8711725817675
2017-09-22,20170.160284951024,3527.7511266336187,5938.271152667076,2499.606725591791
2017-09-25,20255.397489539748,3527.4754529514903,5869.928291778281,2493.8473858463235
2017-09-26,20189.35714285714,3520.085924200341,5886.643922951709,2494.671229409853
2017-09-27,20264.387838948234,3545.6711561911097,5942.084274502297,2504.4752367580663
2017-09-28,20373.37133550489,3549.744785780335,5936.7545294413685,2507.100177723646
2017-09-29,20326.795224977042,3575.594759397576,5982.407492674761,2516.0382162442484
2017-10-02,20384.846153846152,3587.9464108248603,5984.087986463621,2526.112986230637
2017-10-03,20619.217199558985,3596.336981209993,5997.562588501841,2531.781752493385
2017-10-04,20628.52173913044,3582.914486079129,6002.48722875226,2534.993622321873
2017-10-05,20631.77083333333,3601.521599605036,6060.529951397327,2549.1385806274834
2017-10-06,20690.0,3591.572791023843,6067.470635950684,2546.8315740688195
2017-10-09,20690.0,3600.2920453631464,6062.234944331984,2542.5681933473443
2017-10-10,20812.034188034188,3588.2268069039915,6065.950170721298,2548.5275829473485
2017-10-11,20871.828254847645,3599.3921391052345,6084.915554414784,2552.9546738107306
2017-10-12,20960.0,3597.992391728443,6072.9856377799415,2548.681090571104
2017-10-13,21166.565656565657,3600.381012658228,6094.25,2551.1251543750345
2017-10-16,21270.029182879374,3598.2605583392988,6116.6573394495435,2555.492830281229
2017-10-17,21341.44702842377,3606.1162580499376,6123.8457972805945,2556.948669927065
2017-10-18,21375.6345177665,3609.927380952381,6115.91204918033,2559.0638335106682
2017-10-19,21447.251773049644,3592.543439658007,6092.697763963629,2559.658403686779
2017-10-20,21452.07219251337,3597.580813116207,6106.365762841321,2571.880314304675
