Date,Open,Low,High,Close
2015-06-03,20440.06131207848,20390.0,20520.0,20463.48987854251
2015-06-04,20557.13064713065,20430.0,20570.0,20471.85185185185
2015-06-05,20399.706308919507,20360.0,20490.0,20459.78540772532
2015-06-08,20552.601702932832,20360.0,20560.0,20460.0
2015-06-09,20290.890588235296,20088.0,20342.0,20099.85981308412
2015-06-10,20121.526738827564,20010.0,20270.0,20053.90268456376
2015-06-11,20182.965853658534,20176.0,20370.0,20353.854692230067
2015-06-12,20427.21468229488,20320.0,20440.0,20390.068259385665
2015-06-15,20203.958930276985,20200.0,20400.0,20382.33333333333
2015-06-16,20312.69482884195,20220.0,20360.0,20242.30769230769
2015-06-17,20292.42657342657,20110.0,20310.0,20199.772151898735
2015-06-18,20189.737335834896,19970.0,20190.0,19988.47094801224
2015-06-19,20139.647058823528,20050.0,20180.0,20157.780612244896
2015-06-22,20152.79839070183,20150.0,20420.0,20410.04098360656
2015-06-23,20540.198852772468,20520.0,20790.0,20789.748743718592
2015-06-24,20874.137475214804,20820.0,20950.0,20870.08146639512
2015-06-25,20762.546857772883,20750.0,20860.0,20762.83582089552
2015-06-26,20770.492866407265,20650.0,20800.0,20730.8379373849
2015-06-29,20188.80302447777,20080.0,20370.0,20124.84098939929
2015-06-30,20164.268495428096,20110.0,20250.0,20244.07575757576
2015-07-01,20290.94693504117,20230.0,20350.0,20339.74842767296
2015-07-02,20548.9713639789,20470.0,20600.0,20510.736434108527
2015-07-03,20470.321402483565,20430.0,20570.0,20549.62962962963
2015-07-06,20154.2489626556,20000.0,20310.0,20118.099173553717
2015-07-07,20365.399602385685,20330.0,20440.0,20375.36
2015-07-08,20283.180961357208,19750.0,20320.0,19759.37238493724
2015-07-09,19355.019436345967,19100.0,19840.0,19830.83067092652
2015-07-10,19821.25,19710.0,19980.0,19804.06
2015-07-13,19949.308943089432,19910.0,20130.0,20089.761904761905
2015-07-14,20352.339608144448,20320.0,20440.0,20357.2397094431
2015-07-15,20469.739429695182,20390.0,20490.0,20460.02666666667
2015-07-16,20588.3991790662,20510.0,20610.0,20594.322678843226
2015-07-17,20643.47019867549,20600.0,20660.0,20640.523138833
2015-07-21,20759.069534767383,20710.0,20850.0,20840.315789473683
2015-07-22,20640.033514872222,20570.0,20680.0,20600.03984063745
2015-07-23,20676.95457930008,20650.0,20700.0,20669.369369369368
2015-07-24,20608.43949044586,20520.0,20630.0,20535.173852573014
2015-07-27,20372.491192752896,20270.0,20490.0,20345.815602836883
2015-07-28,20142.22337125129,20060.0,20430.0,20342.209944751383
2015-07-29,20319.35919055649,20190.0,20330.0,20299.697624190067
2015-07-30,20452.45733788396,20450.0,20580.0,20516.10789980732
2015-07-31,20508.612887358584,20460.0,20570.0,20566.09103078983
2015-08-03,20523.16317228806,20380.0,20560.0,20539.69026548673
2015-08-04,20440.17554479419,20420.0,20550.0,20501.85185185185
2015-08-05,20490.529953917052,20460.0,20720.0,20629.91228070176
2015-08-06,20779.841945288754,20660.0,20810.0,20669.44126074498
2015-08-07,20614.505952380958,20560.0,20750.0,20739.326500732062
2015-08-10,20611.714429361487,20600.0,20810.0,20796.726907630524
2015-08-11,20917.785977859774,20560.0,20940.0,20728.276699029127
2015-08-12,20637.3411154345,20280.0,20700.0,20384.471086036672
2015-08-13,20388.772807533842,20280.0,20640.0,20586.945996275605
2015-08-14,20502.638705416117,20460.0,20600.0,20519.928443649373
2015-08-17,20590.06191950465,20530.0,20670.0,20608.438735177864
2015-08-18,20636.36947791164,20530.0,20660.0,20544.754098360656
2015-08-19,20471.280991735537,20190.0,20520.0,20205.069518716577
2015-08-20,20186.876355748373,20020.0,20250.0,20030.98253275109
2015-08-21,19638.751537515367,19420.0,19710.0,19440.24886877828
2015-08-24,18969.415550530528,18480.0,19100.0,18567.775041050903
2015-08-25,17934.450903051693,17730.0,18850.0,17796.591704147926
2015-08-26,17822.221889952154,17660.0,18430.0,18366.70616113744
2015-08-27,18698.989082086533,18470.0,18800.0,18552.326111744584
2015-08-28,19036.84580405126,18940.0,19200.0,19128.349834983503
2015-08-31,18996.467129877063,18740.0,19020.0,18879.09465020576
2015-09-01,18749.981194170192,18180.0,18770.0,18187.816593886466
2015-09-02,17850.300384212358,17820.0,18480.0,18103.05526590198
2015-09-03,18381.934523809523,18170.0,18490.0,18190.23809523809
2015-09-04,18298.94122731201,17590.0,18310.0,17791.960784313724
2015-09-07,17569.608510638296,17370.0,17910.0,17747.30555555556
2015-09-08,17818.11634446397,17310.0,17880.0,17332.882599580713
2015-09-09,17913.94557823129,17890.0,18630.0,18598.644012944984
2015-09-10,18017.463961352656,17840.0,18210.0,18190.533505154643
2015-09-11,17996.386946386945,17970.0,18230.0,18141.10599078341
2015-09-14,18225.666801783544,17790.0,18230.0,17867.388059701494
2015-09-15,17954.865944095836,17870.0,18220.0,17912.01020408163
2015-09-16,18135.674633770243,17980.0,18190.0,18069.524680073126
2015-09-17,18272.6568914956,18180.0,18360.0,18321.06976744186
2015-09-18,18176.47268408551,17940.0,18190.0,17992.06375838926
2015-09-24,17622.10460251046,17480.0,17710.0,17492.293706293705
2015-09-25,17502.013232514182,17360.0,17760.0,17749.692737430167
2015-09-28,17808.848249027236,17550.0,17850.0,17666.795716639208
2015-09-29,17334.692677712454,16890.0,17350.0,16933.351886209028
2015-09-30,17228.011917659805,17170.0,17470.0,17346.606291706386
2015-10-01,17488.201997780245,17390.0,17860.0,17756.492622020432
2015-10-02,17563.67637540453,17530.0,17780.0,17721.206896551725
2015-10-05,17927.475035663338,17860.0,18080.0,17994.090909090908
2015-10-06,18342.39683201334,18090.0,18370.0,18103.9113428944
2015-10-07,18162.53005464481,17990.0,18390.0,18357.05636743215
2015-10-08,18309.32350971199,18120.0,18410.0,18131.460674157304
2015-10-09,18203.27424400417,18180.0,18450.0,18441.14856429463
2015-10-13,18334.13371675054,18230.0,18370.0,18263.728813559323
2015-10-14,18114.27697016068,17830.0,18130.0,17885.013368983957
2015-10-15,17797.56835369401,17750.0,18190.0,18078.55555555556
2015-10-16,18285.961380443714,18230.0,18410.0,18269.65949820789
2015-10-19,18304.68098958333,18080.0,18320.0,18158.582375478927
2015-10-20,18266.900958466453,18150.0,18270.0,18213.88235294117
2015-10-21,18179.532828282827,18170.0,18620.0,18542.681159420288
2015-10-22,18438.567467652494,18380.0,18580.0,18440.54151624549
2015-10-23,18900.167548500882,18810.0,18930.0,18843.45588235294
2015-10-26,19076.98689956332,18940.0,19100.0,18946.265060240963
2015-10-27,18966.153846153848,18760.0,18980.0,18790.36945812808
2015-10-28,18845.42682926829,18820.0,18940.0,18905.703703703704
2015-10-29,19069.348060344822,18810.0,19100.0,18947.86350148368
2015-10-30,18919.177777777782,18720.0,19220.0,19099.77329974811
2015-11-02,18832.79470729752,18640.0,18870.0,18681.398305084742
2015-11-04,19019.246249542626,18930.0,19190.0,18941.805054151624
2015-11-05,19038.95551257253,19000.0,19190.0,19120.72
2015-11-06,19199.95283018868,19170.0,19300.0,19270.995145631063
2015-11-09,19425.95907928389,19420.0,19700.0,19649.932049830124
2015-11-10,19451.77654755913,19450.0,19690.0,19670.0
2015-11-11,19605.8025477707,19600.0,19740.0,19710.09852216749
2015-11-12,19632.567703109333,19600.0,19740.0,19709.953488372088
2015-11-13,19507.981020942407,19380.0,19620.0,19598.590078328984
2015-11-16,19250.41327489042,19240.0,19460.0,19389.66
2015-11-17,19669.23614846692,19630.0,19740.0,19670.1261829653
2015-11-18,19790.141050583654,19650.0,19850.0,19670.343980343983
2015-11-19,19889.44044321329,19760.0,19970.0,19870.695652173912
2015-11-20,19816.97543859649,19720.0,19860.0,19845.9173553719
2015-11-24,19901.0039040714,19830.0,19970.0,19939.80891719745
2015-11-25,19861.23136746597,19790.0,19890.0,19857.582417582416
2015-11-26,19932.467402206617,19930.0,20000.0,19948.877118644068
2015-11-27,19998.228120516498,19830.0,20010.0,19879.35849056604
2015-11-30,19873.625690607736,19700.0,19890.0,19768.937329700268
2015-12-01,19827.012127894155,19810.0,19990.0,19988.742514970058
2015-12-02,19960.060240963856,19920.0,20000.0,19963.796296296296
2015-12-03,19898.22734101152,19860.0,19980.0,19942.97297297297
2015-12-04,19596.149228130358,19430.0,19660.0,19482.61398176292
2015-12-07,19709.09380952381,19660.0,19800.0,19685.0
2015-12-08,19697.89594172737,19420.0,19750.0,19476.73611111111
2015-12-09,19379.429611650485,19223.0,19460.0,19287.532934131737
2015-12-10,19041.54694144586,18990.0,19110.0,19012.330226364847
2015-12-11,18991.276436924607,18970.0,19260.0,19199.27860696517
2015-12-14,18750.751099937148,18560.0,18890.0,18869.765807962533
2015-12-15,18839.27735368957,18520.0,18870.0,18561.127541589653
2015-12-16,18849.96509598604,18840.0,19030.0,19014.778420038536
2015-12-17,19410.50464396285,19290.0,19490.0,19320.11363636364
2015-12-18,19299.681724846,18950.0,19880.0,18965.48271752086
2015-12-21,18821.2293144208,18610.0,18960.0,18926.905660377357
2015-12-22,18893.298717165548,18790.0,18920.0,18860.222222222223
2015-12-24,19058.45906163753,18750.0,19070.0,18760.284697508898
2015-12-25,18799.790782292293,18710.0,18850.0,18730.0
2015-12-28,18830.077519379844,18750.0,18920.0,18869.76470588236
2015-12-29,18849.92125984252,18780.0,18980.0,18959.931034482757
2015-12-30,19070.405679513184,19010.0,19110.0,19020.196629213482
2016-01-04,18816.400889453616,18370.0,18950.0,18460.229007633592
2016-01-05,18389.81552981553,18310.0,18550.0,18350.065645514223
2016-01-06,18375.99348534202,17980.0,18460.0,18183.18181818182
2016-01-07,18120.773053561566,17750.0,18170.0,17769.71993410214
2016-01-08,17559.470458028263,17520.0,17980.0,17693.796296296296
2016-01-12,17414.901547116737,17170.0,17550.0,17230.647291941874
2016-01-13,17468.800191204587,17450.0,17720.0,17705.117924528302
2016-01-14,17192.1700143472,16910.0,17270.0,17223.022888713498
2016-01-15,17518.745417515274,17040.0,17610.0,17123.25551232166
2016-01-18,16752.580283793875,16640.0,17030.0,16923.380530973453
2016-01-19,16891.097014925374,16750.0,17090.0,17039.868173258004
2016-01-20,17008.930921052633,16370.0,17010.0,16412.920997921003
2016-01-21,16468.6372510738,16000.0,16780.0,16010.424311926605
2016-01-22,16590.668193967158,16450.0,16990.0,16964.565637065636
2016-01-25,17157.431874483897,16910.0,17210.0,17110.066666666666
2016-01-26,16798.148604269292,16630.0,16840.0,16676.880733944956
2016-01-27,17039.99383096854,16950.0,17250.0,17150.131826741996
2016-01-28,17031.689250225834,16920.0,17240.0,17060.56133056133
2016-01-29,17103.91599752934,16740.0,17850.0,17507.014413177763
2016-02-01,17823.32177263969,17690.0,17900.0,17869.21921921922
2016-02-02,17664.919647485745,17660.0,17870.0,17740.68281938326
2016-02-03,17409.85404896422,17060.0,17450.0,17190.408450704224
2016-02-04,17029.11185588605,16930.0,17210.0,17030.033222591366
2016-02-05,16777.10798816568,16610.0,16880.0,16810.51330798479
2016-02-08,16571.36582430806,16540.0,17090.0,16994.03433476395
2016-02-09,16358.236057068745,16010.0,16390.0,16089.419191919193
2016-02-10,16128.77138413686,15410.0,16160.0,15641.808383233532
2016-02-12,15178.75423155044,14850.0,15290.0,14918.901613742844
2016-02-15,15576.846262341323,15490.0,16160.0,16027.326932794342
2016-02-16,15856.72748004561,15810.0,16340.0,16025.642570281123
2016-02-17,15988.788343558284,15600.0,16200.0,15812.371638141809
2016-02-18,16295.967976710337,16090.0,16330.0,16190.472440944883
2016-02-19,15998.958718422677,15780.0,16020.0,15959.320297951585
2016-02-22,15821.161616161617,15790.0,16180.0,16098.350515463915
2016-02-23,16205.516236469606,15990.0,16340.0,16034.820143884892
2016-02-24,15837.482993197278,15730.0,16000.0,15886.10103626943
